host_ip,rssi_dbm,dist_m
172.20.10.2,-72.00,3.000
172.20.10.2,-72.00,3.000
172.20.10.2,-72.00,3.000
172.20.10.2,-72.00,3.000
172.20.10.2,-72.00,3.000
172.20.10.2,-72.00,3.000
172.20.10.2,-72.00,3.000
172.20.10.2,-72.00,3.000
172.20.10.2,-72.00,3.000
172.20.10.2,-72.00,3.000
172.20.10.2,-72.00,3.000
172.20.10.2,-72.00,3.000
172.20.10.2,-72.00,3.000
172.20.10.2,-73.00,3.000
172.20.10.2,-73.00,3.000
172.20.10.2,-73.00,3.000
172.20.10.2,-73.00,3.000
172.20.10.2,-74.00,3.000
172.20.10.2,-74.00,3.000
172.20.10.2,-74.00,3.000
172.20.10.2,-74.00,3.000
172.20.10.2,-75.00,3.000
172.20.10.2,-75.00,3.000
172.20.10.2,-75.00,3.000
172.20.10.2,-75.00,3.000
172.20.10.2,-75.00,3.000
172.20.10.2,-75.00,3.000
172.20.10.2,-75.00,3.000
172.20.10.2,-75.00,3.000
172.20.10.2,-75.00,3.000
172.20.10.2,-75.00,3.000
172.20.10.2,-75.00,3.000
172.20.10.2,-75.00,3.000
172.20.10.2,-75.00,3.000
172.20.10.2,-75.00,3.000
172.20.10.2,-75.00,3.000
172.20.10.2,-75.00,3.000
172.20.10.2,-75.00,3.000
172.20.10.2,-75.00,3.000
172.20.10.2,-75.00,3.000
172.20.10.2,-75.00,3.000
172.20.10.2,-75.00,3.000
172.20.10.2,-75.00,3.000
172.20.10.2,-75.00,3.000
172.20.10.2,-75.00,3.000
172.20.10.2,-75.00,3.000
172.20.10.2,-75.00,3.000
172.20.10.2,-75.00,3.000
172.20.10.2,-75.00,3.000
172.20.10.2,-75.00,3.000
172.20.10.2,-76.00,3.000
